entertainment,સાડીમાં જ દેખાતી 'નાગિન 3' ની એક્ટ્રેસનો જુઓ બોલ્ડ અવતાર
business,"નીરવ મોદીના જેકેટમાં એવુ શું છે ખાસ, જેની કિંમત છે આઠ લાખ રૂપિયા"
business,નોટ નહી કરાવે ખોટઃશનિવાર અને રવિવાર બેન્કો ખુલ્લી રહેશે
business,મોબાઇલ : ઇન્ટેક્સ કંપનીએ ઓછી કિંમતમાં લોન્ચ કર્યો એક્વા એયર 2
business,"એક જ નિર્ણયથી બદલાઈ ગઈ કિસ્મત, વર્ષભરમાં ફેમિલીને કરાવ્યો કરોડોનો ફાયદો"
entertainment,"શ્રીદેવીના રાજકીય સન્માન સાથે અંતિમ સંસ્કાર, RTIમાં થયા ખુલાસા"
business,લોન ફ્રોડ કેસમાં ચંદા કોચર અને વીડિયોકોન પ્રમુખ વેણુગોપાલના ઘરે EDની તપાસ
entertainment,શું તમે જોયો 'કોમોલિકા' હિના ખાનનો બોલ્ડ અવતાર!
business,કોણ છે RBI ગવર્નર પદથી રાજીનામું આપનારા ઉર્જિત પટેલ?
business,"લગ્નમાં ગેસ્ટની સંખ્યા નક્કી કરશે દિલ્હી સરકાર, જાણો શું છે નવી પોલિસી"
entertainment,"કલાકારોની કુંડળી જોઇને કામ આપે છે એક્તા કપૂર, જુઓ તસવીરો"
business,પ્રધાનમંત્રી આવાસ યોજના ગ્રામીણમાં તમારું નામ કેવી રીતે ચેક કરશો?
tech,"ટ્વિટરે 33 કરોડ યુઝર્સને પાસવર્ડ બદલવાનું કહ્યું, તમારું નામ તો નથી ને?"
entertainment,"PHOTOS: મિસ યુનિવર્સ 2018 સ્પર્ધા, જુઓ બિકિની રાઉન્ડમાં સુંદરીઓનો જલવો"
business,"રોલ્સ રોયસ કરતા પણ મોંઘી છે આ અતરની શીશી, કિંમત જાણીને આંખો થઈ જશે ચાર!"
tech,"તૈયાર થઈ જાઓ શાઓમીના શાનદાર Note 6 Pro માટે, જાણો ક્યારે થશે લોન્ચ"
business,આ બીમારી છે? તો મફતમાં કરવા મળશે Railway યાત્રા
business,Marutiની કાર આજથી આટલા રૂપિયા સુધી થશે મોંઘી! આ કારણથી વધી કિંમતો
business,20 હજારથી વધુ કેશની લેવડ-દેવડ પર લાગી શકે છે ભારે દંડ
business,"પીએમ 13મીએ ચીન જશે, થશે મોટા વેપારી કરાર"
entertainment,"""ગેમ ઓફ થ્રોન્સ""ની 8મી સિઝન શરૂ થાય તે પહેલા તેનું આ સિક્રેટ જાણો"
entertainment,"સલમાનના ભાઇની EX ગર્લફ્રેન્ડ ઇન્સ્ટાગ્રામ પર છવાઇ, શેર કરી બોલ્ડ તસવીરો"
entertainment,"આઇટમ ગર્લ નોરા ફતેહીએ સેલિબ્રેટ કર્યો બર્થ-ડે, પાર્ટીમાં આવ્યા સ્ટાર્સ"
business,PM મોદીએ કહ્યું - 2022 સુધીમાં બધાને પાકુ મકાન મળે તે મારૂ સપનું
entertainment,ગૂગલે બોલિવૂડની આ ટોપ અભિનેત્રીઓને ગણાવી સૌથી ખરાબ!
tech,"2019માં ઓડી લોન્ચ કરશે ઇલેકટ્રીક SUV,  જુઓ કેવી છે Audi E-Tron"
business,લાઇફ બ્રાંડનો લેટેસ્ટ ફોન LYF-F1 લોન્ચઃજોવો વીડિયો
entertainment,બોલ્ડ તસવીરો લીક થતાં રાતો-રાત ચર્ચામાં આવી હતી આ અભિનેત્રી
tech,Jioના આ સૌથી સસ્તા પ્લાનમાં મળી રહ્યું છે અનલિમિટેડ ઇન્ટરનેટ અને કોલિંગ
business,"માત્ર રૂ.20માં ખોલાવવો સેવિંગ એકાઉન્ટ, મળશે તમામ બેંકિંગ સર્વિસ"
business,"અમરેલી: બાબરા માર્કેટીંગ યાર્ડમાં 150 જેટલા મજુરો હડતાળ પર, કપાસની હરાજી થઈ ઠપ"
entertainment,"સલમાને શરૂ કર્યુ '10 કા દમ'નું શૂટિંગ, ફી સાંભળીને ઉડી જશે હોશ"
entertainment,"માથું નીચે રાખી કોર્ટરૂમમાં બેસી રહ્યો સલમાન, જાણો વકીલો વચ્ચે શું થઈ દલીલ?"
entertainment,"ટ્રેડિશનલ લૂકમાં સારાએ મા સાથે કરાવ્યું ફોટોશૂટ, જુઓ Pics"
entertainment,"ફરહાન અખ્તરની અપીલ, PMની સાથે આસારામની તસવીરો ન કરો શેર"
tech,"આ છે WhatsAppના સૌથી જરૂરી ફિચર્સ, જેની યુઝર્સ આતુરતાથી જોઇ રહ્યા છે રાહ"
business,માત્ર 51 રૂપિયા આપીને જ અહીંયાથી ખરીદો બ્રાન્ડેડ કપડા
entertainment,આશા ભોસલેના આ પગલાં બાદ લતાએ તોડી નાખ્યાં હતાં તમામ સંબંધ
tech,"આ છે 2018ના ટોપ 10 સ્માર્ટફોન્સ, ખરીદશો તો પસ્તાશો નહીં"
entertainment,"રિયા ચક્રવર્તીએ શેર કરી હોટ ફોટોશૂટની તસવીરો, ફેન્સે કર્યો લાઇક્સનો વરસાદ"
business,"ઇસરો રચશે ઇતિહાસ,મેડ ઇન ઇન્ડિયા ""સ્પેસ શટલ""ના લોન્ચિંગની તૈયારી"
business,'ખોટી નીતિઓના કારણે હાર્ડવેર ક્ષેત્રમાં ભારત બીજા દેશો કરતા પાછળ'
tech,"ફુલ વિઝન ડિસ્પલે સાથે રેડમી 6 પ્રો ભારતમાં લોન્ચ, જાણો કિંમત અને ફિચર્સ"
business,Budget 2019: આખરે રેલવેને આ બજેટમાં શું મળ્યું?
business,"ભારતીય બેંકિંગ ક્ષેત્રે સૌથી મોટો કડાકો, પંજાબ નેશનલ બેંકને 5367 કરોડનું નુકશાન"
business,"ગાંધીનગરની મધુર ડેરી અને અમૂલ વચ્ચે MOU, જોવો વીડિયો"
tech,"Amazon Payથી પેમેન્ટ કરી તમે મેળવી શકો છો રૂ. 4000, જાણો - શું છે ઓફર"
entertainment,"3 વખત વધ્યુ બ્લડપ્રેશર થઇ ગભરામણ, આવી રીતે વીતી જેલમાં સલમાનની રાત"
tech,આ સ્માર્ટફોન પર મળી રહ્યું છે 6000 રૂપિયા સુધીનું ડિસ્કાઉન્ટ
entertainment,ફિલ્મ ન ચાલી તો વાઇરલ કરી દીધી Bold તસવીરો
business,હવે કરિયાણાની દુકાન અને પેટ્રોલ પમ્પ પર પણ દવાઓ વેચાશે
